X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.62774089496862,46.1332455448388,"52","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1678.28,360,unbekannt/inconnue,./0.png
7.62770808582786,46.1333854807524,"53","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1677.86,360,unbekannt/inconnue,./0.png
7.62768619659595,46.1334765254895,"54","1900",,vanne de tronçon,"7","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1677.92,360,unbekannt/inconnue,./0.png
7.62650221828715,46.1359405830823,"55","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1677.95,360,unbekannt/inconnue,./0.png
7.62633008901004,46.1364072168853,"56","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1679.14,46.3,unbekannt/inconnue,./0.png
7.62593919941887,46.1367394396467,"57","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1676.16,171.7,unbekannt/inconnue,./0.png
7.62585997781013,46.1367985553613,"59","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1674.91,35.5,unbekannt/inconnue,./0.png
7.62578917223209,46.1368671736127,"60","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1674.95,233.7,unbekannt/inconnue,./0.png
7.62570378448337,46.1370233158508,"61","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1674.58,7.5,unbekannt/inconnue,./0.png
7.62558630797821,46.1375859580522,"62","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1676.56,12.7,unbekannt/inconnue,./0.png
7.62950054654119,46.1337035728895,"63","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1702.86,360,unbekannt/inconnue,./0.png
7.62854714786763,46.1335648707385,"64","1900",,vanne de séparation,"8","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1687.52,360,unbekannt/inconnue,./0.png
